MSFT,IBM,SBUX,AAPL,GSPC,Date
-0.5054067679252234,-1.4908257060209305,-0.4550402603047601,-1.2594268534096091,-0.11999743283654878,2007-01-03
-0.509641049252494,-1.4677927244443902,-0.45385966170722086,-1.2523241546568067,-0.11518649168692467,2007-01-04
-0.5240372468025529,-1.4875036328809388,-0.45828693865902065,-1.2546535627537179,-0.13904780478410392,2007-01-05
-0.49947892187519927,-1.4547258285134268,-0.46212385188999483,-1.2530497079984675,-0.1303935769707091,2007-01-08
-0.49693852200244226,-1.4288137810939383,-0.46655099999768257,-1.2259372138707318,-0.13241191939298938,2007-01-09
-0.5223435765025461,-1.454947358916828,-0.46979767835194314,-1.209020595816312,-0.12483605088138928,2007-01-10
-0.43427261532493217,-1.4602626170800797,-0.43851200878332447,-1.2136029513822928,-0.10003476019357302,2007-01-11
-0.39108423382926244,-1.4449812197614922,-0.4358556297278333,-1.2181089617762684,-0.08092903722050937,2007-01-12
-0.3953183040020263,-1.4122034421488596,-0.4264109697916324,-1.2086387256364906,-0.07769395378527669,2007-01-16
-0.4003992093247935,-1.4299211923170279,-0.42434495445696685,-1.2168488479107755,-0.08123313745231624,2007-01-17
-0.40886766640208183,-1.4425450274411888,-0.43969260738086346,-1.2393025258446888,-0.09298406698978604,2007-01-18
-0.39955237417479006,-1.5151874954495637,-0.4464809526836295,-1.2414791570057122,-0.08156491457933951,2007-01-19
-0.4325790506021789,-1.4943691757899253,-0.45385966170722086,-1.2480090793527416,-0.10244023076838507,2007-01-22
-0.4308853803021717,-1.495033552961092,-0.4638946853642474,-1.252171406584878,-0.08850490296718519,2007-01-23
-0.40124615005205044,-1.487946479648704,-0.46861701533234795,-1.248352733650622,-0.05493867688510854,2007-01-24
-0.45544349407501905,-1.4855102873284012,-0.49281909331573204,-1.250071149459819,-0.09981335056169043,2007-01-25
-0.4427409668249669,-1.4868392289548924,-0.49547547237122297,-1.2533933911603068,-0.10456893792088175,2007-01-26
-0.44866881287499105,-1.4626988094003825,-0.4754054250571699,-1.2512549470172654,-0.1088823834228334,2007-01-29
-0.45290309420226205,-1.4443166820610476,-0.4754054250571699,-1.2527442118546102,-0.08621013720831443,2007-01-30
-0.420723252924877,-1.4491890667016534,-0.4641898672246603,-1.2520568455309316,-0.0601644258474051,2007-01-31
-0.44612841300223405,-1.4525111665965251,-0.47983270200896955,-1.2558373314472053,-0.03887464193141199,2007-02-01
-0.47746120797510894,-1.4487461931790087,-0.4839647326783005,-1.2557991444292234,-0.03210037206421549,2007-02-02
-0.5265776466753099,-1.421948211430072,-0.4913433772798361,-1.2588922640218183,-0.03597133562320258,2007-02-05
-0.5350459981753447,-1.4336861657345443,-0.5016736472193313,-1.2580903366441931,-0.03317873413093447,2007-02-06
-0.546901690275393,-1.433908204480659,-0.5016736472193313,-1.2504530196396402,-0.027593531146398256,2007-02-07
-0.5562168769254312,-1.4321310651104748,-0.5090522918208669,-1.2503384297217348,-0.032321444375297465,2007-02-08
-0.5799283667027819,-1.4558998593868149,-0.5226290468484548,-1.261450736498704,-0.060661921495077556,2007-02-09
-0.5833156017255423,-1.4552334755996752,-0.5311883544695853,-1.255302713195455,-0.07362959481042403,2007-02-12
-0.5688694661345968,-1.4616755155188743,-0.5314834719079422,-1.2559900506551749,-0.043519524474662015,2007-02-13
-0.5357284495417105,-1.4414609999829027,-0.511413424593889,-1.253698858440205,-0.012994649091151843,2007-02-14
-0.5306299128176154,-1.4476808406267092,-0.5149551559644505,-1.2540425416020442,-0.008819585300357875,2007-02-15
-0.5918134092792924,-1.4461259005319176,-0.5211533308125589,-1.255493648285366,-0.012331094837105306,2007-02-16
-0.5841653930386427,-1.4381288937630468,-0.5267611419398416,-1.2514076950891941,-0.0008842655314423876,2007-02-20
-0.539977300529959,-1.4439045498951062,-0.5391572339478344,-1.23880612347488,-0.006552496436703508,2007-02-21
-0.5365782408548112,-1.4570106149698594,-0.5211533308125589,-1.2376223259174335,-0.010008652183018154,2007-02-22
-0.5782170650014471,-1.4741151968064878,-0.5288271572745071,-1.2393025258446888,-0.024358787796890477,2007-02-23
-0.5637709294105017,-1.4923305609810404,-0.5506681024848689,-1.2414409699877302,-0.02939080125759656,2007-02-26
-0.6657434587057138,-1.5578614749621587,-0.5878566361970712,-1.2589304510398005,-0.1685493345705273,2007-02-27
-0.640250352776224,-1.580519540410334,-0.5834294236673275,-1.2563337338170142,-0.14703847834345218,2007-02-28
-0.6470484721265198,-1.595402932139429,-0.5984819591528673,-1.2469780298672237,-0.15713018216008076,2007-03-01
-0.6750909519953106,-1.6258357783262027,-0.613534494638407,-1.2532788301063604,-0.2013689757129082,2007-03-02
-0.6929362528386573,-1.6056212895451107,-0.6274063671043517,-1.2498038403339438,-0.23745137718573822,2007-03-05
-0.6691426239581151,-1.5614156199281288,-0.6099926988457897,-1.2426629545631591,-0.17858602468244794,2007-03-06
-0.6878375049600555,-1.5583056862287858,-0.596120761957789,-1.244457715544361,-0.1880975394865555,2007-03-07
-0.7124809251536981,-1.5791867460811748,-0.5893323522329671,-1.24338850790482,-0.1606693658271203,2007-03-08
-0.7150301935157458,-1.572966905437368,-0.6008431563479455,-1.2435030689587665,-0.15804282294122626,2007-03-09
-0.7022836405510009,-1.554529368742303,-0.6079266835111242,-1.236247593270076,-0.14764667880706595,2007-03-12
-0.763467242589931,-1.585628786000374,-0.6288820831402476,-1.2418610271855337,-0.2268618376357123,2007-03-13
-0.7056828058034023,-1.5623041762357814,-0.6300627461598428,-1.235751190900267,-0.2013689757129082,2007-03-14
-0.7158799848288462,-1.5691905879508854,-0.6220937378374817,-1.2373932038095403,-0.18724025249584275,2007-03-15
-0.7116311338405977,-1.5736332892245077,-0.5928741480255845,-1.2373168297735762,-0.20197751626224686,2007-03-16
-0.6691426239581151,-1.557195091175019,-0.5792973285759405,-1.2314360867322434,-0.16019920698893936,2007-03-19
-0.6682928326450147,-1.545866004941172,-0.5692623693409701,-1.230099569966827,-0.13564700282822206,2007-03-20
-0.6105082902812327,-1.5267620844589673,-0.5429942116008647,-1.2209729881249296,-0.06901204907666549,2007-03-21
-0.631752545222474,-1.5305383751905706,-0.5615885428790217,-1.2206293049630903,-0.07039451137519134,2007-03-22
-0.6529969057409689,-1.5340926806858186,-0.5680817707434309,-1.2223095048903458,-0.06605372906374819,2007-03-23
-0.6360015017879757,-1.5347590644729583,-0.5524389359591215,-1.2134120451563413,-0.06221044239997749,2007-03-26
-0.6784901172477118,-1.5407567325962523,-0.5592273456839435,-1.2149013099936858,-0.08679066354163607,2007-03-27
-0.6852882365980076,-1.551197262522447,-0.5722138014127619,-1.223378741393846,-0.11825551928070753,2007-03-28
-0.6759407433084109,-1.5443110380915008,-0.570738085376866,-1.2214312034767563,-0.10360128343502834,2007-03-29
-0.6657434587057138,-1.551197262522447,-0.5698526042176836,-1.224638912987257,-0.10821882916878686,2007-03-30
-0.6767905346215112,-1.5300941906788232,-0.5730992825719442,-1.2218130736565778,-0.09801608045049212,2007-04-02
-0.6657434587057138,-1.5103238864094786,-0.5660156909867095,-1.2185672348560133,-0.06146385746028178,2007-04-03
-0.6122078729074333,-1.507880336497275,-0.5704429035164531,-1.2194455074056434,-0.057040047228113726,2007-04-04
-0.6079591274964385,-1.5009941120663284,-0.5686720700422004,-1.2178798685323347,-0.04490198677318787,2007-04-05
-0.6062595448702378,-1.4987725741453597,-0.5763458965041487,-1.2218130736565778,-0.042551869988808604,2007-04-09
-0.6207055748839297,-1.502326879640608,-0.5757555972053792,-1.2195218814416078,-0.03210037206421549,2007-04-10
